`mesh_concept_uid`,`mesh_semantic_type_uid`
M0001139,T047
M0001140,T047
M0001141,T047
M0001142,T019
M0001143,T061
M0001144,T121
M0001145,T061
M0001146,T093
M0001147,T093
M0001148,T079
M0001149,T061
M0001150,T061
M0001151,T061
M0001152,T061
M0001153,T061
M0001154,T061
M0001155,T061
M0001156,T061
M0001157,T061
M0001158,T061
M0001159,T061
M0001160,T061
M0001161,T061
M0001162,T061
M0001163,T061
M0001164,T061
M0001165,T061
M0001166,T091
M0001167,T121
M0001168,T121
M0001169,T121
M0001170,T079
M0001171,T109
M0001171,T121
M0001172,T109
M0001172,T121
M0001173,T049
M0001174,T047
M0001174,T190
M0001175,T020
M0001175,T047
M0001176,T047
M0001177,T047
M0001178,T047
M0001179,T041
M0001180,T047
M0001180,T184
M0001181,T047
M0001181,T184
M0001182,T184
M0001183,T047
M0001184,T060
M0001185,T123
M0001186,T123
M0001187,T060
M0001188,T060
M0001189,T047
M0001190,T191
M0001191,T047
M0001192,T047
M0001193,T047
M0001194,T047
M0001195,T191
M0001196,T047
M0001197,T046
M0001198,T061
M0001199,T009
M0001199,T204
M0001200,T116
M0001200,T121
M0001200,T125
M0001201,T116
M0001201,T124
M0001202,T116
M0001202,T121
M0001202,T123
M0001205,T116
M0001205,T121
M0001205,T123
M0001206,T116
M0001206,T123
M0001207,T121
M0001208,T116
M0001208,T123
M0001209,T116
M0001209,T123
M0001210,T116
M0001210,T121
M0001210,T123
M0001211,T083
M0001212,T013
M0001213,T109
M0001214,T109
M0001215,T109
M0001216,T116
M0001216,T126
M0001217,T109
M0001217,T121
M0001218,T109
M0001219,T008
M0001220,T023
M0001221,T062
M0001222,T054
M0001223,T047
M0001224,T168
M0001225,T090
M0001226,T170
M0001227,T040
M0001228,T017
M0001229,T062
M0001230,T097
M0001231,T062
M0001232,T052
M0001234,T096
M0001235,T008
M0001236,T008
M0001237,T008
M0001238,T008
M0001239,T008
M0001240,T008
M0001241,T015
M0001242,T008
M0001243,T008
M0001244,T008
M0001245,T008
M0001246,T008
M0001247,T121
M0001247,T122
M0001247,T130
M0001248,T196
M0001249,T184
M0001250,T109
M0001251,T109
M0001251,T195
M0001252,T029
M0001253,T030
M0001254,T020
M0001254,T047
M0001255,T009
M0001255,T204
M0001256,T051
M0001257,T051
M0001258,T052
M0001259,T051
M0001260,T073
M0001260,T170
M0001261,T019
M0001262,T019
M0001263,T048
M0001264,T048
M0001264,T054
M0001265,T054
M0001266,T170
M0001267,T170
M0001268,T170
M0001269,T009
M0001269,T204
M0001270,T019
M0001271,T009
M0001271,T204
M0001272,T009
M0001272,T204
M0001273,T009
M0001273,T204
M0001274,T009
M0001274,T204
M0001275,T009
M0001275,T204
M0001276,T009
