`tree_number`,`mesh_descriptor_uid`,`mesh_tree_id`
D12.776.377.715.548.114.224.200.250,D000068879,643
D06.472.699.587.200.300.200.500,D000068880,644
D06.472.699.587.200.500.625.500.500,D000068880,645
D12.644.548.586.200.300.200.500,D000068880,646
D12.644.548.586.200.500.625.500.500,D000068880,647
B01.050.050.126,D000068881,648
D03.383.129.385.650,D000068882,649
D03.383.742.592,D000068882,650
G07.345.124.390,D000068884,651
G12.460.500,D000068884,652
D02.886.778.075,D000068896,653
D03.383.903.075,D000068896,654
D09.408.348.113,D000068896,655
G01.590.310,D000068897,656
D03.383.773.812.752,D000068898,657
D02.078.370.141.450.500,D000068899,658
D03.383.129.799.725.500,D000068899,659
D03.383.679.875.500,D000068899,660
D26.310.750,D000068899,661
D03.383.129.799.725,D000068900,662
D03.383.679.875,D000068900,663
E05.318.740.750.862,D000068916,664
E05.318.740.933.375,D000068916,665
N05.715.360.750.695.825,D000068916,666
N05.715.360.750.746.375,D000068916,667
N06.850.520.830.750.862,D000068916,668
N06.850.520.830.933.375,D000068916,669
E01.894,D000068936,670
E02.921,D000068936,671
H01.603.600.500,D000068936,672
H02.403.845,D000068936,673
J01.897.520.600.600.500,D000068936,674
D26.074,D000068937,675
D27.720.269.285,D000068937,676
E05.385.500,D000068956,677
I03.450.642.693.465,D000068957,678
I03.450.642.845.605,D000068958,679
G07.345.249.314.120.250,D000068959,680
N04.452.758.708.450.500,D000068977,681
L01.224.230.260.550.500.500,D000068997,682
E07.451,D000068998,683
J01.494.650,D000068998,684
I01.076.201.450.050,D000069,685
I01.880.853.100.079,D000069,686
D06.472.699.587.200.300.100,D000069036,687
D12.644.548.586.200.300.100,D000069036,688
D02.886.675.414,D000069056,689
D03.383.129.708.414,D000069056,690
D03.633.100.513.437,D000069056,691
D06.472.699.587.200.300.050,D000069057,692
D12.644.548.586.200.300.050,D000069057,693
D03.383.129.308.980,D000069058,694
D03.383.606.960,D000069058,695
D03.383.129.578.075,D000069059,696
D10.251.450.200,D000069059,697
C26.404.280,D000069076,698
C26.640.500,D000069076,699
F02.463.425.540.305.500,D000069077,700
G12.800,D000069078,701
G01.750.748,D000069079,702
N06.850.460.350.850,D000069079,703
E05.318.308.940.968.625.750,D000069098,704
L01.313.500.750.300.695.300,D000069098,705
N04.452.653.250,D000069098,706
N04.452.859.564.650.250,D000069098,707
N05.715.360.300.715.500.530.500,D000069098,708
N06.850.520.308.940.968.625.500,D000069098,709
D05.500.890.500.500,D000069177,710
D05.500.890.500.750,D000069178,711
G06.591.375,D000069196,712
G16.500.275.157.049.100.500.375,D000069196,713
N06.230.124.049.100.500.250,D000069196,714
E05.318.308.980.313,D000069216,715
N05.715.360.300.800.313,D000069216,716
N06.850.520.308.980.313,D000069216,717
A07.541.795.500,D000069236,718
A10.615.789.470.500,D000069236,719
A12.207.270.651,D000069236,720
E01.370.225.998.329.465,D000069237,721
E02.800.550.310,D000069237,722
E04.665.600.465,D000069237,723
E05.200.998.329.465,D000069237,724
E01.370.225.998.329.810,D000069258,725
E02.800.550.810,D000069258,726
E04.665.600.810,D000069258,727
E05.200.998.329.810,D000069258,728
A01.456.505.875,D000069259,729
A01.598.500,D000069259,730
A11.284.180.695,D000069261,731
A11.436.275.841,D000069261,732
A02.165.308.650,D000069262,733
A02.513.514.538,D000069262,734
A02.835.583.378.531.500,D000069262,735
A02.835.583.378.900.500,D000069262,736
A02.835.583.512.538,D000069262,737
A10.165.382.350.400,D000069262,738
A10.165.669.514.538,D000069262,739
B01.650.940.800.575.912.250.825.359,D000069263,740
E04.100.376.031,D000069278,741
E04.928.220.055,D000069278,742
C10.228.140.490.125,D000069279,743
E01.370.376.300.294,D000069280,744
E01.370.405.245.431,D000069280,745
C10.228.140.617.738.275.500,D000069281,746
C19.700.419.500,D000069281,747
C20.111.273,D000069281,748
C11.496.221.500,D000069282,749
D12.776.124.486.485.114.224.075.785,D000069283,750
D12.776.124.790.651.114.224.075.785,D000069283,751
D12.776.377.715.548.114.224.284.785,D000069283,752
D05.500.890,D000069284,753
D12.776.124.486.485.114.224.608,D000069285,754
D12.776.124.790.651.114.224.537,D000069285,755
D12.776.377.715.548.114.224.642,D000069285,756
D01.029.260.110.500,D000069286,757
D01.132.285.500,D000069286,758
D02.203.200.500,D000069286,759
